code,title
C01B,"ANTIARRHYTHMICS, CLASS I AND III"
C01BB,"ANTIARRHYTHMICS, CLASS IB"
C01BB01,LIDOCAINE
B02BD04,COAGULATION FACTOR IX
L01XE45,NERATINIB
N05BB,DIPHENYLMETHANE DERIVATIVES
N05BB01,HYDROXYZINE
A09,"DIGESTIVES, INCL. ENZYMES"
A09A,"DIGESTIVES, INCL. ENZYMES"
A09AA,ENZYME PREPARATIONS
S01EC,CARBONIC ANHYDRASE INHIBITORS
S01EC04,BRINZOLAMIDE
N03AD,SUCCINIMIDE DERIVATIVES
N03AD01,ETHOSUXIMIDE
N07B,DRUGS USED IN ADDICTIVE DISORDERS
N07BC,DRUGS USED IN OPIOID DEPENDENCE
N07BC01,BUPRENORPHINE
L01XA02,CARBOPLATIN
A11D,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12"
A11DA,"VITAMIN B1, PLAIN"
A11DA01,THIAMINE (VIT B1)
N06AA,NON-SELECTIVE MONOAMINE REUPTAKE INHIBITORS
N06AA04,CLOMIPRAMINE
D07AC04,FLUOCINOLONE ACETONIDE
V03AE02,SEVELAMER
C01BD,"ANTIARRHYTHMICS, CLASS III"
C01BD01,AMIODARONE
L01AD04,STREPTOZOCIN
A02BA03,FAMOTIDINE
G02C,OTHER GYNECOLOGICALS
G02CB,PROLACTINE INHIBITORS
G02CB03,CABERGOLINE
C10AA05,ATORVASTATIN
N06AB04,CITALOPRAM
M05BA03,PAMIDRONIC ACID
J01D,OTHER BETA-LACTAM ANTIBACTERIALS
J01DH,CARBAPENEMS
J01DH51,IMIPENEM AND ENZYME INHIBITOR
A10BF,ALPHA GLUCOSIDASE INHIBITORS
A10BF01,ACARBOSE
L01XX17,TOPOTECAN
L01XE07,LAPATINIB
S01EC03,DORZOLAMIDE
D10AF,ANTIINFECTIVES FOR TREATMENT OF ACNE
D10AF02,ERYTHROMYCIN
L01CD04,CABAZITAXEL
L01XX11,ESTRAMUSTINE
B01AC23,CILOSTAZOL
C08CA06,NIMODIPINE
C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION
C03EA,LOW-CEILING DIURETICS AND POTASSIUM-SPARING AGENTS
C03EA01,HYDROCHLOROTHIAZIDE AND POTASSIUM-SPARING AGENTS
L04AA13,LEFLUNOMIDE
B01AD,ENZYMES
B01AD01,STREPTOKINASE
J01AA08,MINOCYCLINE
N05AH03,OLANZAPINE
J01XE,NITROFURAN DERIVATIVES
J01XE01,NITROFURANTOIN
G04BD07,TOLTERODINE
J01DD,THIRD-GENERATION CEPHALOSPORINS
J01DD08,CEFIXIME
A02BC01,OMEPRAZOLE
G03C,ESTROGENS
G03CA,"NATURAL AND SEMISYNTHETIC ESTROGENS, PLAIN"
G03CA57,CONJUGATED ESTROGENS
H02AB01,BETAMETHASONE
J01DB,FIRST-GENERATION CEPHALOSPORINS
J01DB01,CEFALEXIN
A07C,ELECTROLYTES WITH CARBOHYDRATES
A07CA,ORAL REHYDRATION SALT FORMULATIONS
N06DA02,DONEPEZIL
N06AB10,ESCITALOPRAM
J04,ANTIMYCOBACTERIALS
J04A,DRUGS FOR TREATMENT OF TUBERCULOSIS
J04AB,ANTIBIOTICS
J04AB02,RIFAMPICIN
R05CB01,ACETYLCYSTEINE
C09C,"ANGIOTENSIN II ANTAGONISTS, PLAIN"
C09CA,"ANGIOTENSIN II ANTAGONISTS, PLAIN"
C09CA01,LOSARTAN
M03C,"MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS"
M03CA,DANTROLENE AND DERIVATIVES
M03CA01,DANTROLENE
A03B,"BELLADONNA AND DERIVATIVES, PLAIN"
A03BB,"BELLADONNA ALKALOIDS, SEMISYNTHETIC, QUATERNARY AMMONIUM COMPOUNDS"
N02AB,PHENYLPIPERIDINE DERIVATIVES
N02AB02,PETHIDINE
J01FA,MACROLIDES
J01FA10,AZITHROMYCIN
S01EB,PARASYMPATHOMIMETICS
S01EB03,ECOTHIOPATE
L01CA,VINCA ALKALOIDS AND ANALOGUES
L01CA04,VINORELBINE
N01B,"ANESTHETICS, LOCAL"
N01BB,AMIDES
N01BB01,BUPIVACAINE
R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS"
R05DA,OPIUM ALKALOIDS AND DERIVATIVES
R05DA09,DEXTROMETHORPHAN
N06AA12,DOXEPIN
N06AA02,IMIPRAMINE
D10B,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE
D10BA,RETINOIDS FOR TREATMENT OF ACNE
D10BA01,ISOTRETINOIN
C03BA08,METOLAZONE
D06AA,TETRACYCLINE AND DERIVATIVES
D06AA04,TETRACYCLINE
L01XE21,REGORAFENIB
C07AG,ALPHA AND BETA BLOCKING AGENTS
C07AG02,CARVEDILOL
N05AD,BUTYROPHENONE DERIVATIVES
N05AD01,HALOPERIDOL
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
A11CC,VITAMIN D AND ANALOGUES
A11CC05,COLECALCIFEROL
N07BC03,LEVACETYLMETHADOL
N04A,ANTICHOLINERGIC AGENTS
N04AA,TERTIARY AMINES
N04AA01,TRIHEXYPHENIDYL
L01XE27,IBRUTINIB
R06AB,SUBSTITUTED ALKYLAMINES
R06AB04,CHLORPHENAMINE
B01AC11,ILOPROST
L01XX41,ERIBULIN
A02BA01,CIMETIDINE
L02BA03,FULVESTRANT
R05CB13,DORNASE ALFA (DESOXYRIBONUCLEASE)
N05BA04,OXAZEPAM
G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03XC,SELECTIVE ESTROGEN RECEPTOR MODULATORS
G03XC01,RALOXIFENE
B02BX,OTHER SYSTEMIC HEMOSTATICS
L01BA01,METHOTREXATE
B02BX05,ELTROMBOPAG
L01DB07,MITOXANTRONE
L01CX,OTHER PLANT ALKALOIDS AND NATURAL PRODUCTS
L01CX01,TRABECTEDIN
L01CB,PODOPHYLLOTOXIN DERIVATIVES
L01CB01,ETOPOSIDE
A16AB07,ALGLUCOSIDASE ALFA
C09CA03,VALSARTAN
M01AB01,INDOMETACIN
C02DB,HYDRAZINOPHTHALAZINE DERIVATIVES
C02DB02,HYDRALAZINE
L01BB04,CLADRIBINE
B01AA,VITAMIN K ANTAGONISTS
B01AA03,WARFARIN
J05,ANTIVIRALS FOR SYSTEMIC USE
J05A,DIRECT ACTING ANTIVIRALS
J05AB,NUCLEOSIDES AND NUCLEOTIDES EXCL. REVERSE TRANSCRIPTASE INHIBITORS
J05AB01,ACICLOVIR
A06AX,OTHER DRUGS FOR CONSTIPATION
A06AX04,LINACLOTIDE
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
M03BX,OTHER CENTRALLY ACTING AGENTS
M03BX02,TIZANIDINE
J04AB01,CYCLOSERINE
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES"
C03BA,"SULFONAMIDES, PLAIN"
C03BA11,INDAPAMIDE
B05BB02,ELECTROLYTES WITH CARBOHYDRATES
R03AC,SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS
R03AC13,FORMOTEROL
N05CM,OTHER HYPNOTICS AND SEDATIVES
R03BB04,TIOTROPIUM BROMIDE
N05CM18,DEXMEDETOMIDINE
G02AD04,CARBOPROST
L04AB,TUMOR NECROSIS FACTOR ALPHA (TNF-&ALPHA) INHIBITORS
L04AB02,INFLIXIMAB
P02,ANTHELMINTICS
P02C,ANTINEMATODAL AGENTS
P02CE,IMIDAZOTHIAZOLE DERIVATIVES
P02CE01,LEVAMISOLE
L04AD02,TACROLIMUS
M05BA08,ZOLEDRONIC ACID
G03DA03,HYDROXYPROGESTERONE
A16AB05,LARONIDASE
N06AB06,SERTRALINE
R03CA,ALPHA- AND BETA-ADRENORECEPTOR AGONISTS
R03CA02,EPHEDRINE
N03AX11,TOPIRAMATE
A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03AA,"SYNTHETIC ANTICHOLINERGICS, ESTERS WITH TERTIARY AMINO GROUP"
A03AA04,MEBEVERINE
L03AB10,PEGINTERFERON ALFA-2B
N07BA03,VARENICLINE
R03BA07,MOMETASONE
J02AX,OTHER ANTIMYCOTICS FOR SYSTEMIC USE
J02AX04,CASPOFUNGIN
C02DD,NITROFERRICYANIDE DERIVATIVES
C02DD01,NITROPRUSSIDE
C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
C01CA,ADRENERGIC AND DOPAMINERGIC AGENTS
C01CA24,EPINEPHRINE
N03AB,HYDANTOIN DERIVATIVES
N03AB02,PHENYTOIN
B05BA02,FAT EMULSIONS
L01CA01,VINBLASTINE
C10AX,OTHER LIPID MODIFYING AGENTS
J05AB04,RIBAVIRIN
A04AA03,TROPISETRON
C09A,"ACE INHIBITORS, PLAIN"
C09AA,"ACE INHIBITORS, PLAIN"
C09AA03,LISINOPRIL
H01CC,ANTI-GONADOTROPIN-RELEASING HORMONES
H01CC01,GANIRELIX
L04AA04,ANTITHYMOCYTE IMMUNOGLOBULIN (RABBIT)
S01BA14,LOTEPREDNOL
J06BB04,HEPATITIS B IMMUNOGLOBULIN
D07AA,"CORTICOSTEROIDS, WEAK (GROUP I)"
D07AA02,HYDROCORTISONE
J01FA09,CLARITHROMYCIN
C01BC,"ANTIARRHYTHMICS, CLASS IC"
C01BC03,PROPAFENONE
G01AF19,SERTACONAZOLE
C01DA,ORGANIC NITRATES
C01DA02,GLYCERYL TRINITRATE
C10AA02,LOVASTATIN
L01XC19,BLINATUMOMAB
N07C,ANTIVERTIGO PREPARATIONS
N07CA,ANTIVERTIGO PREPARATIONS
N07CA01,BETAHISTINE
G04BE08,TADALAFIL
S01EA,SYMPATHOMIMETICS IN GLAUCOMA THERAPY
S01EA05,BRIMONIDINE
R06AX26,FEXOFENADINE
J05AR03,TENOFOVIR DISOPROXIL AND EMTRICITABINE
V03AB14,PROTAMINE
A02BC02,PANTOPRAZOLE
D06BA,SULFONAMIDES
D06BA01,SILVER SULFADIAZINE
L01AC,ETHYLENE IMINES
L01AC01,THIOTEPA
B05Z,HEMODIALYTICS AND HEMOFILTRATES
B05ZA,"HEMODIALYTICS, CONCENTRATES"
L01DB03,EPIRUBICIN
G03GA01,CHORIONIC GONADOTROPHIN
R07,OTHER RESPIRATORY SYSTEM PRODUCTS
R07A,OTHER RESPIRATORY SYSTEM PRODUCTS
R07AA,LUNG SURFACTANTS
L01BC01,CYTARABINE
J01XX01,FOSFOMYCIN
A04AA01,ONDANSETRON
N05CF,BENZODIAZEPINE RELATED DRUGS
N05CF02,ZOLPIDEM
G03FA13,NORGESTIMATE AND ESTROGEN
C08CA05,NIFEDIPINE
L01XA03,OXALIPLATIN
D10AX,OTHER ANTI-ACNE PREPARATIONS FOR TOPICAL USE
D10AX03,AZELAIC ACID
R01AD,CORTICOSTEROIDS
R01AD08,FLUTICASONE
H03,THYROID THERAPY
H03A,THYROID PREPARATIONS
H03AA,THYROID HORMONES
H03AA01,LEVOTHYROXINE SODIUM
N02AB03,FENTANYL
G03GA08,CHORIOGONADOTROPIN ALFA
J01CR,"COMBINATIONS OF PENICILLINS, INCL. BETA-LACTAMASE INHIBITORS"
J01CR05,PIPERACILLIN AND ENZYME INHIBITOR
A10BG,THIAZOLIDINEDIONES
A10BG03,PIOGLITAZONE
J01XA02,TEICOPLANIN
A16AA01,LEVOCARNITINE
A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"
A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"
A08AB,PERIPHERALLY ACTING ANTIOBESITY PRODUCTS
A08AB01,ORLISTAT
V03AB24,DIGITALIS ANTITOXIN
G03CA03,ESTRADIOL
C04,PERIPHERAL VASODILATORS
C04A,PERIPHERAL VASODILATORS
N07XX06,TETRABENAZINE
V03AB17,METHYLTHIONINIUM CHLORIDE
S01EB09,ACETYLCHOLINE
B03X,OTHER ANTIANEMIC PREPARATIONS
B03XA,OTHER ANTIANEMIC PREPARATIONS
B03XA01,ERYTHROPOIETIN
C01CA17,MIDODRINE
B05BA03,CARBOHYDRATES
C01CE,PHOSPHODIESTERASE INHIBITORS
C01CE02,MILRINONE
G03BA03,TESTOSTERONE
D10AD,RETINOIDS FOR TOPICAL USE IN ACNE
D10AD04,ISOTRETINOIN
A07EA,CORTICOSTEROIDS ACTING LOCALLY
A07EA02,HYDROCORTISONE
A03BA,"BELLADONNA ALKALOIDS, TERTIARY AMINES"
A03BA01,ATROPINE
B01AD02,ALTEPLASE
A10BX,"OTHER BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BX02,REPAGLINIDE
S01AX,OTHER ANTIINFECTIVES
S01AX07,SODIUM BORATE
J05AG,NON-NUCLEOSIDE REVERSE TRANSCRIPTASE INHIBITORS
J05AG03,EFAVIRENZ
L03AB07,INTERFERON BETA-1A
J01CR02,AMOXICILLIN AND ENZYME INHIBITOR
A10A,INSULINS AND ANALOGUES
A10AB,"INSULINS AND ANALOGUES FOR INJECTION, FAST-ACTING"
A10AB01,INSULIN (HUMAN)
H04,PANCREATIC HORMONES
H04A,GLYCOGENOLYTIC HORMONES
H04AA,GLYCOGENOLYTIC HORMONES
H04AA01,GLUCAGON
D01AC14,SERTACONAZOLE
S01J,DIAGNOSTIC AGENTS
S01JA,COLOURING AGENTS
S01JA01,FLUORESCEIN
B02AB,PROTEINASE INHIBITORS
B02AB01,APROTININ
J01MA01,OFLOXACIN
D01AE,OTHER ANTIFUNGALS FOR TOPICAL USE
D01AE15,TERBINAFINE
J04AC,HYDRAZIDES
L01XE06,DASATINIB
J04AM,COMBINATIONS OF DRUGS FOR TREATMENT OF TUBERCULOSIS
J04AM06,"RIFAMPICIN, PYRAZINAMIDE, ETHAMBUTOL AND ISONIAZID"
C10AB05,FENOFIBRATE
M01AC,OXICAMS
M01AC06,MELOXICAM
D07AD,"CORTICOSTEROIDS, VERY POTENT (GROUP IV)"
D07AD01,CLOBETASOL
N01BB58,"ARTICAINE, COMBINATIONS"
J01DB04,CEFAZOLIN
C09X,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09XA,RENIN-INHIBITORS
C09XA02,ALISKIREN
S01AE07,MOXIFLOXACIN
M01AB02,SULINDAC
G03A,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE
G03AC,PROGESTOGENS
G03AC06,MEDROXYPROGESTERONE
N06BX13,IDEBENONE
D01AE13,SELENIUM SULFIDE
R03AC02,SALBUTAMOL
A02BC03,LANSOPRAZOLE
R03C,ADRENERGICS FOR SYSTEMIC USE
R03CC,SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS
R03CC02,SALBUTAMOL
D07B,"CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS"
D07BB,"CORTICOSTEROIDS, MODERATELY POTENT, COMBINATIONS WITH ANTISEPTICS"
D07BB03,TRIAMCINOLONE AND ANTISEPTICS
N01BB52,"LIDOCAINE, COMBINATIONS"
P01AB02,TINIDAZOLE
R03AK06,SALMETEROL AND FLUTICASONE
A03BB01,BUTYLSCOPOLAMINE
J01DH02,MEROPENEM
L01DC,OTHER CYTOTOXIC ANTIBIOTICS
L01DC01,BLEOMYCIN
A06AA,"SOFTENERS, EMOLLIENTS"
A06AA01,LIQUID PARAFFIN
V03AB23,ACETYLCYSTEINE
A12CE,SELENIUM
A12CE02,SODIUM SELENITE
L03AX16,PLERIXAFOR
N07XX05,AMIFAMPRIDINE
C01EB17,IVABRADINE
C07AG01,LABETALOL
A16AA06,BETAINE
R01AD05,BUDESONIDE
R03BA02,BUDESONIDE
B01AB01,HEPARIN
N07XX02,RILUZOLE
B05CX,OTHER IRRIGATING SOLUTIONS
B05CX01,GLUCOSE
A06AD11,LACTULOSE
D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC."
D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC."
D04AB,ANESTHETICS FOR TOPICAL USE
D04AB04,BENZOCAINE
A07D,ANTIPROPULSIVES
N01AH06,REMIFENTANIL
N05AX08,RISPERIDONE
J01MA12,LEVOFLOXACIN
L04AA18,EVEROLIMUS
J05AB11,VALACICLOVIR
L01XE11,PAZOPANIB
V03AB22,AMYL NITRITE
C01BC04,FLECAINIDE
D07AB,"CORTICOSTEROIDS, MODERATELY POTENT (GROUP II)"
D07AB09,TRIAMCINOLONE
D11AX11,HYDROQUINONE
P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS"
P03A,"ECTOPARASITICIDES, INCL. SCABICIDES"
P03AC,"PYRETHRINES, INCL. SYNTHETIC COMPOUNDS"
P03AC04,PERMETHRIN
N03AX16,PREGABALIN
A10AB06,INSULIN GLULISINE
V03AB34,FOMEPIZOLE
L01BA05,PRALATREXATE
L01BB02,MERCAPTOPURINE
S01XA18,CICLOSPORIN
B05AA07,HYDROXYETHYLSTARCH
J05AE10,DARUNAVIR
G03H,ANTIANDROGENS
G03HB,ANTIANDROGENS AND ESTROGENS
G03HB01,CYPROTERONE AND ESTROGEN
J05AF,NUCLEOSIDE AND NUCLEOTIDE REVERSE TRANSCRIPTASE INHIBITORS
J05AF07,TENOFOVIR DISOPROXIL
N05CF03,ZALEPLON
N05BA12,ALPRAZOLAM
N04BB,ADAMANTANE DERIVATIVES
N04BB01,AMANTADINE
A07BA01,MEDICINAL CHARCOAL
B02BD05,COAGULATION FACTOR VII
N02CC03,ZOLMITRIPTAN
B05XB,AMINO ACIDS
A11HA04,RIBOFLAVIN (VIT B2)
A10AE05,INSULIN DETEMIR
L04AB04,ADALIMUMAB
r03cb01,ISOPRENALINE
V03AC03,DEFERASIROX
N06BA12,LISDEXAMFETAMINE
B02BX04,ROMIPLOSTIM
C07AB03,ATENOLOL
L02BB03,BICALUTAMIDE
N07BC02,METHADONE
V08AB04,IOPAMIDOL
J05AX14,DACLATASVIR
R07AA02,NATURAL PHOSPHOLIPIDS
C07AA05,PROPRANOLOL
C01CA07,DOBUTAMINE
A02BA53,"FAMOTIDINE, COMBINATIONS"
C03A,"LOW-CEILING DIURETICS, THIAZIDES"
C03AX,"THIAZIDES, COMBINATIONS WITH OTHER DRUGS"
C03AX01,"HYDROCHLOROTHIAZIDE, COMBINATIONS"
P02CF,AVERMECTINES
P02CF01,IVERMECTIN
L01XX44,AFLIBERCEPT
N07BC51,"BUPRENORPHINE, COMBINATIONS"
G03GB,"OVULATION STIMULANTS, SYNTHETIC"
G03GB02,CLOMIFENE
A05,BILE AND LIVER THERAPY
A05A,BILE THERAPY
A05AA,BILE ACID PREPARATIONS
A05AA02,URSODEOXYCHOLIC ACID
A07A,INTESTINAL ANTIINFECTIVES
A07AA,ANTIBIOTICS
A07AA03,NATAMYCIN
N02BE51,"PARACETAMOL, COMBINATIONS EXCL. PSYCHOLEPTICS"
C03DB,OTHER POTASSIUM-SPARING AGENTS
C03DB01,AMILORIDE
N07AX,OTHER PARASYMPATHOMIMETICS
N07AX01,PILOCARPINE
D07AC01,BETAMETHASONE
M01AE02,NAPROXEN
C05,VASOPROTECTIVES
C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C05AD,LOCAL ANESTHETICS
C05AD01,LIDOCAINE
D10AF01,CLINDAMYCIN
D10AF51,"CLINDAMYCIN, COMBINATIONS"
N01BB03,MEPIVACAINE
A11CC02,DIHYDROTACHYSTEROL
B03AC,"IRON, PARENTERAL PREPARATIONS"
N03AX10,FELBAMATE
L01DB02,DAUNORUBICIN
l04,IMMUNOSUPPRESSANTS
l04a,IMMUNOSUPPRESSANTS
l04aa,SELECTIVE IMMUNOSUPPRESSANTS
l04aa23,NATALIZUMAB
C05BB,SCLEROSING AGENTS FOR LOCAL INJECTION
C05BB02,POLIDOCANOL
C01EB18,RANOLAZINE
N02BA11,DIFLUNISAL
L01XC12,BRENTUXIMAB VEDOTIN
R03AL,ADRENERGICS IN COMBINATION WITH ANTICHOLINERGICS
R03AL02,SALBUTAMOL AND IPRATROPIUM BROMIDE
C07AB09,ESMOLOL
L01XX45,CARFILZOMIB
M05BA06,IBANDRONIC ACID
B01AE06,BIVALIRUDIN
S01EC01,ACETAZOLAMIDE
C08CA04,NICARDIPINE
L01BB03,TIOGUANINE
L02AE03,GOSERELIN
D06BB,ANTIVIRALS
D06BB03,ACICLOVIR
C01EB,OTHER CARDIAC PREPARATIONS
C01EB10,ADENOSINE
P02CA,BENZIMIDAZOLE DERIVATIVES
P02CA03,ALBENDAZOLE
P02BA,QUINOLINE DERIVATIVES AND RELATED SUBSTANCES
P02BA01,PRAZIQUANTEL
N01AH02,ALFENTANIL
M04,ANTIGOUT PREPARATIONS
M04A,ANTIGOUT PREPARATIONS
M04AA,PREPARATIONS INHIBITING URIC ACID PRODUCTION
M04AA01,ALLOPURINOL
N07AX03,CEVIMELINE
L01XX46,OLAPARIB
C01CA06,PHENYLEPHRINE
J05AF10,ENTECAVIR
G03DB08,DIENOGEST
C04AB,IMIDAZOLINE DERIVATIVES
C04AB01,PHENTOLAMINE
J06AA03,SNAKE VENOM ANTISERUM
A02AX,"ANTACIDS, OTHER COMBINATIONS"
A02AB,ALUMINIUM COMPOUNDS
A02AB01,ALUMINIUM HYDROXIDE
N06AA06,TRIMIPRAMINE
G01AF04,MICONAZOLE
D01AA,ANTIBIOTICS
D01AA08,GRISEOFULVIN
R05CA,EXPECTORANTS
R05CA03,GUAIFENESIN
H02AB08,TRIAMCINOLONE
B03AE,IRON IN OTHER COMBINATIONS
B03AE02,"IRON, MULTIVITAMINS AND FOLIC ACID"
A11HA30,DEXPANTHENOL
C07B,BETA BLOCKING AGENTS AND THIAZIDES
V03AB04,PRALIDOXIME
C07BB,"BETA BLOCKING AGENTS, SELECTIVE, AND THIAZIDES"
C07BB07,BISOPROLOL AND THIAZIDES
C03DA04,EPLERENONE
L04AX05,PIRFENIDONE
G02CA,"SYMPATHOMIMETICS, LABOUR REPRESSANTS"
G02CA01,RITODRINE
R07AB,RESPIRATORY STIMULANTS
R07AB01,DOXAPRAM
G04BE01,ALPROSTADIL
C09DX,"ANGIOTENSIN II ANTAGONISTS, OTHER COMBINATIONS"
C09DX04,VALSARTAN AND SACUBITRIL
N05AX13,PALIPERIDONE
C09DA02,EPROSARTAN AND DIURETICS
N04BC04,ROPINIROLE
L01XE15,VEMURAFENIB
M04AA03,FEBUXOSTAT
N01BB09,ROPIVACAINE
R03AC12,SALMETEROL
N04BD,MONOAMINE OXIDASE B INHIBITORS
N04BD01,SELEGILINE
J05AB12,CIDOFOVIR
G03AD,EMERGENCY CONTRACEPTIVES
G03AD02,ULIPRISTAL
V03AB08,SODIUM NITRITE
L01XE18,RUXOLITINIB
M04AB,PREPARATIONS INCREASING URIC ACID EXCRETION
M04AB01,PROBENECID
N05AE,INDOLE DERIVATIVES
N05AE04,ZIPRASIDONE
L01BB06,CLOFARABINE
G03GA30,COMBINATIONS
A07EA06,BUDESONIDE
R03DX,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DX05,OMALIZUMAB
V03AB06,THIOSULFATE
L01XE02,GEFITINIB
P03B,INSECTICIDES AND REPELLENTS
P03BX,OTHER INSECTICIDES AND REPELLENTS
P03BX01,DIETHYLTOLUAMIDE
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE
R01BA,SYMPATHOMIMETICS
R01BA02,PSEUDOEPHEDRINE
J04AK,OTHER DRUGS FOR TREATMENT OF TUBERCULOSIS
J04AK01,PYRAZINAMIDE
N07A,PARASYMPATHOMIMETICS
N07AA,ANTICHOLINESTERASES
N07AA02,PYRIDOSTIGMINE
P01B,ANTIMALARIALS
P01BD,DIAMINOPYRIMIDINES
P01BD01,PYRIMETHAMINE
P02CX,OTHER ANTINEMATODALS
P02CX01,PYRVINIUM
L01BC08,DECITABINE
J07BG,RABIES VACCINES
J06BB05,RABIES IMMUNOGLOBULIN
A16AB08,GALSULFASE
D08,ANTISEPTICS AND DISINFECTANTS
D08A,ANTISEPTICS AND DISINFECTANTS
D08AE,PHENOL AND DERIVATIVES
D08AE03,PHENOL
D09,MEDICATED DRESSINGS
D09A,MEDICATED DRESSINGS
D09AA,MEDICATED DRESSINGS WITH ANTIINFECTIVES
D09AA09,POVIDONE-IODINE
G03GA05,FOLLITROPIN ALFA
C10BA,HMG COA REDUCTASE INHIBITORS IN COMBINATION WITH OTHER LIPID MODIFYING AGENTS
C10BA05,ATORVASTATIN AND EZETIMIBE
L01XC11,IPILIMUMAB
C05BB04,SODIUM TETRADECYL SULFATE
N07BB01,DISULFIRAM
A07AA11,RIFAXIMIN
G04BE04,YOHIMBINE
J05AF01,ZIDOVUDINE
M05BA01,ETIDRONIC ACID
N01AX07,ETOMIDATE
C07AA03,PINDOLOL
S01G,DECONGESTANTS AND ANTIALLERGICS
S01GX,OTHER ANTIALLERGICS
S01GX01,CROMOGLICIC ACID
S01BC,"ANTIINFLAMMATORY AGENTS, NON-STEROIDS"
S01BC03,DICLOFENAC
S01EA01,EPINEPHRINE
B05CX03,GLYCINE
L03AA09,SARGRAMOSTIM
L01DC03,MITOMYCIN
A12B,POTASSIUM
A12BA,POTASSIUM
A12BA02,POTASSIUM CITRATE
L03AA,COLONY STIMULATING FACTORS
L03AA03,MOLGRAMOSTIM
N07BB,DRUGS USED IN ALCOHOL DEPENDENCE
N07BB04,NALTREXONE
N07AA01,NEOSTIGMINE
g,GENITO URINARY SYSTEM AND SEX HORMONES
g04,UROLOGICALS
g04b,UROLOGICALS
g04be,DRUGS USED IN ERECTILE DYSFUNCTION
g04be02,PAPAVERINE
M01AC01,PIROXICAM
A12BA01,POTASSIUM CHLORIDE
J07AJ,PERTUSSIS VACCINES
J07AJ51,"PERTUSSIS, INACTIVATED, WHOLE CELL, COMBINATIONS WITH TOXOIDS"
R01BA53,"PHENYLEPHRINE, COMBINATIONS"
N06AX11,MIRTAZAPINE
G03AC03,LEVONORGESTREL
C05C,CAPILLARY STABILIZING AGENTS
C05CA,BIOFLAVONOIDS
C05CA04,TROXERUTIN
S01AA26,AZITHROMYCIN
L04AC06,MEPOLIZUMAB
R01AC03,AZELASTINE
J07BX,OTHER VIRAL VACCINES
J07BX03,COVID-19 VACCINE
N03AF02,OXCARBAZEPINE
L01DA,ACTINOMYCINES
L01DA01,DACTINOMYCIN
J07BF,POLIOMYELITIS VACCINES
A16AX07,SAPROPTERIN
J01DE,FOURTH-GENERATION CEPHALOSPORINS
J01DE01,CEFEPIME
L01XC13,PERTUZUMAB
J01DC,SECOND-GENERATION CEPHALOSPORINS
J01DC02,CEFUROXIME
M01AH,COXIBS
M01AH01,CELECOXIB
a,ALIMENTARY TRACT AND METABOLISM
a10,DRUGS USED IN DIABETES
a10b,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
a10bx,"OTHER BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
a10bx07,LIRAGLUTIDE
R06AE,PIPERAZINE DERIVATIVES
R06AE07,CETIRIZINE
G03AA,"PROGESTOGENS AND ESTROGENS, FIXED COMBINATIONS"
G03AA09,DESOGESTREL AND ETHINYLESTRADIOL
G03AA06,NORGESTREL AND ETHINYLESTRADIOL
G03AA08,MEDROXYPROGESTERONE AND ETHINYLESTRADIOL
A10AB04,INSULIN LISPRO
J07BF03,"POLIOMYELITIS, TRIVALENT, INACTIVATED, WHOLE VIRUS"
L01XE12,VANDETANIB
J01XX,OTHER ANTIBACTERIALS
J01XX08,LINEZOLID
G03FA11,LEVONORGESTREL AND ESTROGEN
A10BH,DIPEPTIDYL PEPTIDASE 4 (DPP-4) INHIBITORS
A10BH01,SITAGLIPTIN
